Model,R2,RMSE,MAE,RMSE % of Mean
Random Forest (With Transfer),0.8980733516637226,1135.768987607309,586.6219412438533,28.879713794305104
LightGBM (With Transfer),0.9389641205010806,865.3051033308417,466.4710223544389,22.342004850079455
XGBoost (With Transfer),0.8552455895147826,1390.3441358127272,699.3517223408046,34.354312604336116
Random Forest (Without Transfer),0.9103963376953045,867.8510702337031,457.52188236074574,30.027816745521257
LightGBM (Without Transfer),0.9285335587267058,768.8273381881324,382.71707275058395,26.84326126543279
XGBoost (Without Transfer),0.9174477088157229,814.2751549857336,415.235575210404,28.81067535777056
