Model,R2,RMSE,MAE,RMSE % of Mean
Random Forest (With Transfer),0.9219646578260836,997.5228043586654,521.9271885638268,25.39151363682445
LightGBM (With Transfer),0.9745118411843421,552.2679916217005,211.31048195906556,14.47517640818469
XGBoost (With Transfer),0.9067068351503144,1089.509154216493,558.5112648562185,27.759527349565154
Random Forest (Without Transfer),0.9590482184016302,552.6273909049727,230.71419940877678,19.49302556646265
LightGBM (Without Transfer),0.9663069928733939,497.98994982769443,209.01066296387648,17.679261311859825
XGBoost (Without Transfer),0.9632713653980967,516.9958993318307,219.68394711268678,18.44850268828319
